Match Number,HTGD,FGS,RED-H,RED-A,POINTS_H,POINTS_A,TOTAL_H_P,TOTAL_A_P,Match_O
499,0,2,0,0,32,17,76,36,1
500,0,2,0,0,24,18,60,36,1
501,0,2,0,0,18,14,42,43,1
502,-1,0,0,0,17,22,0,0,1
503,-2,1,0,0,15,17,39,37,0
504,0,0,0,0,16,11,40,0,2
505,-1,0,0,0,17,25,55,87,0
506,0,2,0,0,19,13,57,58,2
507,0,0,0,0,15,19,46,65,0
508,1,1,0,0,33,23,85,83,0
509,0,0,0,0,13,34,58,76,0
510,-2,0,0,0,20,33,37,85,0
511,0,0,0,0,23,19,0,42,2
512,2,1,0,0,15,18,43,0,1
513,0,0,0,0,19,17,36,55,1
514,1,1,0,0,26,19,83,40,2
515,0,0,0,0,18,15,49,46,0
516,1,1,0,0,11,22,0,57,1
517,0,0,0,0,22,25,65,60,0
518,0,2,0,0,19,20,0,36,1
519,3,1,0,0,15,12,39,0,2
520,2,1,0,0,19,13,40,58,2
521,0,2,0,0,18,31,46,87,1
522,0,0,0,0,23,16,57,43,0
523,-1,0,0,0,36,18,85,49,1
524,0,0,0,0,19,29,42,83,1
525,1,0,0,0,28,20,60,37,2
526,0,0,0,0,37,26,76,0,1
527,0,0,0,0,18,22,55,65,0
528,1,1,0,0,20,23,37,57,2
529,1,1,0,0,21,20,36,42,2
530,0,2,0,0,12,18,0,55,2
531,0,1,0,0,19,19,43,46,2
532,0,1,0,0,30,38,83,76,1
533,3,1,0,0,13,20,58,0,2
534,0,2,0,1,25,37,65,85,1
535,0,0,0,0,20,32,0,87,0
536,2,1,0,0,38,15,85,0,2
537,1,1,0,0,23,19,57,49,0
538,0,2,0,0,19,24,46,36,1
539,1,1,0,0,39,23,76,37,2
540,4,1,0,0,18,27,55,0,2
541,0,0,0,0,20,26,42,65,0
542,0,2,0,0,21,16,39,58,1
543,1,1,0,0,22,22,40,43,2
544,-1,0,0,0,23,25,37,40,0
545,0,2,0,0,35,20,87,42,2
546,-1,0,0,0,22,42,43,76,0
547,0,2,0,0,32,23,83,57,2
548,1,1,0,0,38,42,87,85,2
549,2,1,0,0,38,18,60,0,2
550,0,2,0,0,35,23,83,37,2
551,2,1,0,0,32,27,65,0,2
552,1,1,0,0,20,22,42,39,1
553,0,2,0,0,23,26,39,36,2
554,-2,0,1,0,21,47,0,87,0
555,-1,0,0,0,24,44,57,60,0
556,3,1,0,0,21,21,46,0,2
557,0,2,0,0,46,35,76,65,1
558,0,1,0,0,26,26,49,36,2
559,0,0,0,0,20,23,46,57,1
560,0,2,0,0,18,23,58,43,2
561,0,0,0,0,23,44,37,87,0
562,0,0,0,0,42,21,85,0,2
563,0,2,0,0,22,31,55,40,2
564,1,1,0,0,23,41,39,60,0
565,1,1,0,0,18,21,0,42,2
566,-1,0,0,0,27,38,0,83,0
567,1,1,0,0,41,31,87,40,2
568,0,2,0,0,28,20,40,46,2
569,0,2,0,0,45,21,85,42,2
570,1,1,0,0,25,23,55,43,2
571,-1,0,0,0,31,47,40,76,1
572,-2,0,0,0,21,23,58,37,2
573,0,2,0,0,36,41,65,83,1
574,1,1,0,0,26,24,36,57,2
575,1,1,1,0,21,28,0,55,2
576,0,2,0,0,42,32,83,49,1
577,0,2,0,0,47,32,60,40,1
578,1,1,0,0,24,24,37,46,2
579,1,1,0,0,27,21,0,0,1
580,0,2,0,0,21,22,42,58,1
581,1,1,0,0,50,37,87,65,2
582,-1,0,0,0,23,26,43,39,1
583,0,2,0,0,48,48,76,85,2
584,-2,0,0,0,22,24,0,43,0
585,0,2,0,0,33,29,40,36,1
586,0,2,0,0,24,51,57,76,0
587,2,1,0,0,56,30,87,36,2
588,0,2,0,0,24,31,57,55,2
589,0,2,0,1,24,43,46,83,1
590,0,0,0,0,33,53,49,87,0
591,0,2,0,0,28,22,55,42,2
592,-1,0,0,0,23,48,58,60,0
593,0,2,0,0,48,28,85,0,1
594,1,1,0,0,37,27,65,37,2
595,0,2,0,0,27,24,39,0,2
596,-1,0,0,0,51,49,60,85,0
597,0,2,0,0,44,30,83,39,1
598,2,1,0,0,27,33,37,49,2
599,0,2,0,0,22,34,42,40,1
600,0,0,0,0,24,27,0,57,1
601,0,1,0,0,59,23,87,58,2
602,0,0,0,0,54,31,76,55,1
603,0,2,1,0,27,40,43,65,1
604,1,1,0,0,41,22,65,0,2
605,0,2,0,0,45,33,83,36,1
606,1,1,0,0,52,35,85,40,2
607,1,1,0,0,23,55,42,76,2
608,0,0,0,0,29,25,0,46,0
609,0,2,0,0,30,22,36,0,2
610,-2,0,0,0,29,23,0,58,0
611,0,2,0,0,33,32,49,55,2
612,0,2,0,0,30,28,37,43,2
613,1,1,0,0,51,25,60,0,1
614,0,0,0,0,28,55,57,85,0
615,1,1,0,0,34,27,36,58,0
616,1,1,0,0,31,31,39,46,1
617,1,1,0,0,32,52,55,60,2
618,0,1,0,0,28,62,43,87,0
619,1,1,0,0,26,33,0,37,2
620,-1,0,0,1,35,36,40,49,0
621,0,2,0,0,26,44,58,65,1
622,0,0,0,0,34,29,36,0,0
623,3,1,0,0,28,26,46,42,2
624,-1,1,0,0,65,58,87,76,0
625,1,1,0,0,49,30,83,58,2
626,0,0,0,0,33,34,37,36,0
627,2,1,0,0,45,29,65,0,2
628,0,1,0,0,32,28,0,43,1
629,-1,0,0,0,26,28,42,57,1
630,-1,0,0,0,32,35,39,40,0
631,1,1,0,0,58,35,85,55,2
632,0,2,0,0,39,22,49,0,1
633,0,2,0,0,29,27,0,42,2
634,0,2,0,0,35,61,46,85,2
635,0,0,0,0,23,33,0,37,1
636,-1,0,0,0,31,38,58,46,2
637,1,1,0,0,55,38,83,55,2
638,1,1,0,0,34,27,37,42,2
639,0,2,0,0,33,32,0,57,1
640,0,0,0,0,29,61,43,85,0
641,-1,0,0,0,24,32,0,0,0
642,1,1,0,0,41,32,49,39,2
643,0,0,0,0,40,64,36,76,0
644,0,2,0,0,38,33,40,0,2
645,1,1,0,1,35,32,55,39,2
646,3,1,0,0,61,52,76,60,2
647,0,0,0,0,29,48,57,65,2
648,-1,0,0,0,30,40,58,49,1
649,1,1,0,1,37,65,36,87,2
650,1,1,0,0,48,41,65,40,2
651,1,1,0,0,33,24,57,0,1
652,-1,0,0,0,32,68,39,87,0
653,0,2,0,0,38,44,46,49,2
654,1,1,0,0,41,58,40,83,0
655,-1,0,0,0,52,51,60,65,1
656,1,1,0,0,38,40,55,36,0
657,2,1,0,0,67,34,76,58,2
658,1,1,0,0,64,37,85,37,2
659,1,1,0,0,27,34,42,0,2
660,1,1,0,0,38,25,55,0,2
661,1,1,0,0,53,44,60,49,1
662,0,2,0,0,30,43,42,36,1
663,0,2,0,0,34,37,57,37,2
664,-1,0,0,0,70,61,76,83,1
665,1,1,0,0,41,30,46,43,2
666,0,2,0,0,67,52,85,65,1
667,1,1,0,0,71,37,87,57,2
668,-1,0,0,0,37,54,37,60,1
669,-1,0,0,0,53,41,65,55,0
670,1,1,0,0,44,39,36,0,2
671,-1,0,0,0,34,71,0,76,0
672,1,1,0,0,25,35,0,39,2
